"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"229",2018-08-05,51296,18.1,26.3,0,3.3,9.55,0,0,0,1,0
"230",2018-10-07,35058,3.5,16.3,0,4.8,0.233,0,0,0,1,0
"231",2018-10-20,40828,4.1,13.2,0,5.7,3,0,0,1,0,0
"232",2018-04-18,100366,8.2,24.4,0,1.5,12.283,0,0,0,0,0
"233",2018-09-28,76090,8.1,17.4,0,3.8,6.983,0,0,0,0,0
"234",2018-09-27,84799,14.2,23.5,0,3.7,7.3,0,0,0,0,0
"235",2018-08-27,87924,11.7,22.4,0.2,6.3,1.667,0,0,0,0,0
"236",2018-07-28,49632,19.8,32.8,1,3.8,12.25,0,0,1,0,0
"237",2018-04-07,56903,4.6,20.8,0,3.1,12.333,0,0,1,0,0
"238",2018-08-12,56244,12.8,27.6,0,5.1,13.1,0,0,0,1,0
"239",2018-12-31,15748,3.6,8.5,0.1,7.5,0.217,0,0,0,0,0
"240",2018-02-22,43403,-4,3.4,0,5.5,5.567,0,0,0,0,0
"241",2018-02-25,14857,-9.4,-1.3,0.2,2.9,8.633,0,0,0,1,0
"242",2018-12-06,48239,1.6,9.5,1.1,7.8,0.067,0,0,0,0,0
"243",2018-07-18,89908,19.4,27.5,0,6.5,10.617,0,0,0,0,0
"244",2018-09-13,68717,13.6,16.5,0.3,7.9,0,0,0,0,0,0
"245",2018-07-20,82083,13.3,27.8,0,2.3,12.9,0,0,0,0,0
"246",2018-03-16,32087,-2.8,1.7,0.2,8,0,0,0,0,0,0
"247",2018-01-02,25908,2.5,6.1,1.8,7.1,0,0,0,0,0,0
"248",2018-12-27,17648,4.3,6.3,0.3,7.9,0,0,0,0,0,0
"249",2018-05-11,58834,10.5,16.4,0,6.4,0,0,0,0,0,0
"250",2018-08-21,103069,14.6,24,0,3,11.583,0,0,0,0,0
"251",2018-11-11,24804,6.1,11.6,2.5,5.9,1.5,0,0,0,1,0
"252",2018-06-05,105647,13.6,23.5,0,4.8,5.2,0,0,0,0,0
"253",2018-07-16,86372,15.2,28.7,0,2.1,14.25,0,0,0,0,0
"254",2018-08-08,77186,22.4,38,2.2,4.2,10.533,0,0,0,0,0
"255",2018-08-23,101483,15.6,34.6,0.2,2.8,10.083,0,0,0,0,0
"256",2018-01-01,11442,4.1,12,3.8,6.1,2.117,0,0,0,1,0
"257",2018-06-22,69431,10.4,20.1,0.4,5.5,3.667,0,0,0,0,0
"258",2018-03-24,27023,0.5,7.6,0,5.2,2.9,0,0,1,0,0
"259",2018-07-27,78627,19.3,32.3,0,2.3,11.583,0,0,0,0,0
"260",2018-08-07,84644,17.1,36.3,0,2,13.333,0,0,0,0,0
"261",2018-12-12,47316,0.9,4.5,0,6.8,0.283,0,0,0,0,0
"262",2018-04-13,53157,11.3,20.2,22.7,6.8,1.6,0,0,0,0,0
