"","date","Bike_total","min-temp","max-temp","niederschlag","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"520",2019-11-22,22609,8.4,11.7,0,0,0,0,0,0
"521",2019-05-04,14572,9.2,14.4,4.6,0,0,1,0,0
"522",2019-07-16,50762,16.7,26.1,0,0,0,0,0,0
"523",2019-07-10,47170,15.6,22.6,0,0,0,0,0,0
"524",2019-06-02,45086,19,27.7,0,0,0,0,1,0
"525",2019-01-17,17819,1.3,10.7,0.1,0,0,0,0,0
"526",2019-07-09,48159,16.2,22.4,0,0,0,0,0,0
"527",2019-02-02,9259,6.3,13.7,1.3,0,0,1,0,0
"528",2019-09-25,34564,15.5,19.9,0.6,0,0,0,0,0
"529",2019-08-25,29535,19.6,26.6,3,0,0,0,1,0
"530",2019-05-28,20301,14.2,18.1,11.5,0,0,0,0,0
"531",2019-10-16,27974,12.6,17.7,1.1,0,0,0,0,0
"532",2019-12-23,5659,6,8.5,11.3,0,0,0,0,0
"533",2019-01-20,5640,-1,0.4,0,0,0,0,1,0
"534",2019-10-10,33229,12,18.1,1.2,0,0,0,0,0
"535",2019-08-07,44906,21.2,30.6,5.6,0,0,0,0,0
"536",2019-08-02,37865,21.2,25.7,0,0,0,0,0,0
"537",2019-12-18,22802,5,9.4,0,0,0,0,0,0
"538",2019-11-10,12088,4.8,8.2,0,0,0,0,1,0
"539",2019-04-07,27238,8.4,18.6,0,0,0,0,1,0
"540",2019-08-13,39329,17.9,22.5,3.4,0,0,0,0,0
"541",2019-07-03,55986,19.8,26.1,0,0,0,0,0,0
"542",2019-02-05,13094,-1,4.5,0,0,0,0,0,0
"543",2019-07-19,44352,18.2,29.9,0,0,0,0,0,0
"544",2019-09-15,36670,13.4,24.6,0,0,0,0,1,0
"545",2019-02-21,21245,6.1,13.3,0.5,0,0,0,0,0
"546",2019-06-11,50936,22.4,32.3,0,0,0,0,0,0
"547",2020-10-29,22715,9.7,12.4,2.4,0,0,0,0,1
"548",2020-03-24,12000,-0.9,6.5,0,1,0,0,0,0
"549",2020-03-07,10922,5.8,8.9,0,0,0,1,0,0
"550",2020-12-30,10897,3.8,5.9,0,0,1,0,0,0
"551",2020-10-16,11987,7.6,9.7,9.5,0,0,0,0,1
"552",2020-09-06,12193,16.1,22.3,11.2,0,0,0,1,1
"553",2020-05-01,38449,11.6,20.1,2.5,0,0,0,1,0
"554",2020-11-30,18390,1.3,4.8,0,0,1,0,0,0
"555",2020-06-06,54762,14,25.6,0,0,0,1,0,1
"556",2020-07-26,37840,17.9,27.8,0,0,0,0,1,1
"557",2020-06-12,53093,15.1,26.8,0,0,0,0,0,1
"558",2020-04-21,37322,7.2,17,0,1,0,0,0,0
"559",2020-10-12,24030,6.1,9.8,21.7,0,0,0,0,1
"560",2020-12-14,21487,3.9,7,0,0,0,0,0,0
"561",2020-12-13,12492,3,5.4,0,0,0,0,1,0
"562",2020-01-13,18295,0.5,4.4,0,0,0,0,0,0
"563",2020-08-30,27708,18.8,26.7,0,0,0,0,1,1
"564",2020-10-30,13457,9.5,13.7,12.8,0,0,0,0,1
"565",2020-01-07,16307,-2.4,4.3,0,0,0,0,0,0
"566",2020-03-22,7939,0.4,3.7,0,1,0,0,1,0
"567",2020-03-01,10553,5.7,10.9,1.2,0,0,0,1,0
"568",2020-09-13,47129,19.2,28.2,0,0,0,0,1,1
"569",2020-12-26,7826,0.4,2.9,0,0,1,1,1,0
"570",2020-11-20,20907,4.4,8.9,0,0,1,0,0,0
"571",2020-07-08,62130,13.7,26.2,0,0,0,0,0,1
"572",2020-04-19,15339,12,17,4.8,1,0,0,1,0
"573",2020-02-05,11421,2.3,5.1,0.6,0,0,0,0,0
"574",2020-10-08,45499,11.5,17.5,0,0,0,0,0,1
"575",2020-08-12,55079,20.5,30.4,0,0,0,0,0,1
"576",2020-01-19,4036,1.9,3.9,6.2,0,0,0,1,0
"577",2020-11-01,14121,10.6,13.3,4.5,0,0,0,1,1
"578",2020-11-22,17380,-0.3,5.5,0,0,1,0,1,0
"579",2020-03-26,12753,1.2,10.5,0,1,0,0,0,0
"580",2020-11-24,20150,2.2,7.1,0,0,1,0,0,0
"581",2020-08-19,51248,19.4,24.6,0,0,0,0,0,1
"582",2020-02-21,14246,4.3,8.8,0,0,0,0,0,0
"583",2020-04-06,24793,7.8,19.9,0,1,0,0,0,0
"584",2020-09-24,57710,17.3,25.3,0.4,0,0,0,0,1
"585",2020-12-11,18735,1.5,4.1,0.2,0,0,0,0,0
"586",2020-02-25,24012,5.8,17.2,0.1,0,0,0,0,0
"587",2020-02-04,9463,4.3,9.1,2.3,0,0,0,0,0
"588",2020-08-29,33156,20.2,24.7,0,0,0,1,0,1
"589",2020-07-25,37224,19.2,26.3,0,0,0,1,0,1
"590",2020-06-15,33134,16.6,20.5,13.1,0,0,0,0,1
"591",2020-03-27,24385,4.5,16.5,0,1,0,0,0,0
"592",2020-08-04,28755,15.7,19,19.3,0,0,0,0,1
"593",2020-01-01,6132,1.8,6.1,0,0,0,0,1,0
"594",2020-05-16,40400,8.8,18.2,0,0,0,1,0,1
