"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"323",2018-08-16,16723,15.3,27.8,0,9,13.5,0,0,0,0,0
"324",2018-05-05,14645,12.4,22.2,0,66,8.6,0,0,1,0,0
"325",2018-11-28,8080,-1.8,1.3,0,84,0,0,0,0,0,0
"326",2018-03-30,4990,1.7,14.6,0.4,78,5.7,0,0,0,1,0
"327",2018-10-02,11983,5.3,11.8,0,95,3.9,0,0,0,0,0
"328",2018-05-29,18199,15.3,27,26.3,96,10.2,0,0,0,0,0
"329",2018-01-21,1793,-1.9,1.8,5.7,93,1.2,0,0,0,1,0
"330",2018-03-20,4394,-5.8,0.9,1.1,93,4.6,0,0,0,0,0
"331",2018-04-25,20069,11.9,24.6,1,68,10.7,0,0,0,0,0
"332",2018-04-11,18651,9,19.5,0,73,10.8,0,0,0,0,0
"333",2018-07-11,19377,12.7,19.8,0,75,6.1,0,0,0,0,0
"334",2018-12-30,1422,0.4,3.9,2.4,98,0,0,0,0,1,0
"335",2018-03-12,7257,7.2,13.3,0,88,4.3,0,0,0,0,0
"336",2018-05-08,22584,11,24.1,0,34,14.2,0,0,0,0,0
"337",2018-02-28,3469,-13.4,-5.9,0,48,9.5,0,0,0,0,0
"338",2018-03-31,2539,3.6,9.2,1,99,0.2,0,0,1,0,0
"339",2018-06-07,15203,14.8,25.3,5.7,93,5.1,0,0,0,0,0
"340",2018-02-27,3435,-11.6,-7.6,0,79,4.7,0,0,0,0,0
"341",2018-12-19,7492,-2.6,4.4,1.6,100,0,0,0,0,0,0
"342",2018-04-24,19305,12.5,22.8,0,91,10.2,0,0,0,0,0
"343",2018-03-05,7539,0.1,8.8,0,100,6,0,0,0,0,0
"344",2018-05-14,13297,13.1,22.1,0,91,3.3,0,0,0,0,0
"345",2018-02-03,2949,-0.6,3,0.7,100,0.2,0,0,1,0,0
"346",2018-10-15,17573,7.5,23.2,0,0,10,0,0,0,0,0
"347",2018-10-19,14490,6.6,17.4,0,51,5,0,0,0,0,0
"348",2018-01-17,5453,-1.2,4,5.3,91,1.8,0,0,0,0,0
"349",2018-12-04,9094,3.9,10.6,2.2,84,0.4,0,0,0,0,0
"350",2018-09-07,9161,14.5,23,2,94,2.6,0,0,0,0,0
"351",2018-02-14,5911,-6.4,2.3,0,4,7.9,0,0,0,0,0
"352",2018-12-29,2472,-2.5,2.3,1.8,91,0.1,0,0,1,0,0
"353",2018-03-07,7903,3.6,9.4,0,96,3.9,0,0,0,0,0
"354",2018-12-20,7825,2.2,8,0,91,5.6,0,0,0,0,0
"355",2018-11-20,10507,-1.1,6.8,0,45,7,0,0,0,0,0
"356",2018-05-16,7148,9.5,13.2,22.3,98,0.2,0,0,0,0,0
"357",2018-10-24,8581,10.2,12.8,3.7,98,0,0,0,0,0,0
"358",2018-08-31,4870,13.3,15.3,20.8,98,0,0,0,0,0,0
"359",2018-05-02,16943,9.1,18.5,0,98,3,0,0,0,0,0
"360",2018-01-05,4803,6.9,12.9,2.7,95,3.4,0,0,0,0,0
"361",2018-03-15,9615,0.4,11.9,2.7,84,4.8,0,0,0,0,0
"362",2018-01-20,2382,0.3,4.1,11.9,96,1.2,0,0,1,0,0
"363",2018-07-02,22640,11,24.5,0,8,15.6,0,0,0,0,0
"364",2018-09-29,8916,5.8,16.2,0,55,8.3,0,0,1,0,0
"365",2019-03-20,11841,-1.4,9.7,0,15,10.3,0,0,0,0,0
"366",2019-01-02,2915,-2.1,3.2,0.6,88,0.7,0,0,0,0,0
"367",2019-11-12,10913,2,6.1,3.8,95,0,0,0,0,0,0
"368",2019-03-10,1982,4.4,14.1,3.2,84,1.5,0,0,0,1,0
"369",2019-02-27,11832,2.1,17.7,0,25,10.5,0,0,0,0,0
"370",2019-08-17,11174,12.7,26.5,0,99,5.1,0,0,1,0,0
"371",2019-10-23,16617,9,16,0,83,4.5,0,0,0,0,0
"372",2019-05-21,4563,10.5,12.3,21.2,94,0,0,0,0,0,0
"373",2019-10-08,13693,7.5,17.9,6.3,98,0.7,0,0,0,0,0
"374",2019-05-12,1785,4.5,7.8,12,94,0,0,0,0,1,0
"375",2019-02-11,3991,0,4.7,6.3,89,0,0,0,0,0,0
"376",2019-05-03,7149,7.3,11,4.7,99,0.1,0,0,0,0,0
"377",2019-08-30,17149,15.4,27.8,0,53,12,0,0,0,0,0
"378",2019-05-13,13786,5.5,14.4,0,81,5.5,0,0,0,0,0
"379",2019-07-12,12152,13.9,21.2,6.9,98,4,0,0,0,0,0
"380",2019-10-21,16421,11.9,20.4,0,94,2.5,0,0,0,0,0
"381",2019-08-26,14036,16.1,27.6,46.1,58,8,0,0,0,0,0
"382",2019-09-21,11690,4.8,21,0,5,12,0,0,1,0,0
"383",2019-06-26,23087,18.2,34.5,0,26,14.7,0,0,0,0,0
"384",2019-03-24,11517,3.3,18.1,0,13,11.1,0,0,0,1,0
"385",2019-10-30,9975,3.6,6.7,1.1,98,0.1,0,0,0,0,0
"386",2019-04-02,16330,3.9,21.3,0,95,9.2,0,0,0,0,0
"387",2019-02-20,9146,5,10,0,99,1.3,0,0,0,0,0
"388",2019-10-29,8008,6,7.6,1.5,99,0,0,0,0,0,0
"389",2019-08-18,13855,18.2,33.2,9.7,38,12.3,0,0,0,1,0
"390",2019-05-19,13951,8.5,23.1,18.8,79,10.7,0,0,0,1,0
"391",2019-01-08,4545,0.8,4.5,3.9,96,0.5,0,0,0,0,0
"392",2019-08-03,9464,14.3,22.5,1.1,76,4.9,0,0,1,0,0
"393",2019-07-08,12242,13.1,18.9,0.9,98,0.8,0,0,0,0,0
"394",2019-11-16,5392,2.3,5.6,0.3,94,0,0,0,1,0,0
"395",2019-04-25,19313,9.8,26.4,0,61,10.5,0,0,0,0,0
"396",2019-08-06,17489,19.1,28.3,0,91,7.1,0,0,0,0,0
"397",2019-11-29,8172,2.3,8.8,3,99,0.1,0,0,0,0,0
"398",2019-06-08,12005,14.5,22.3,0,71,7.5,0,0,1,0,0
"399",2019-04-29,8879,4.8,9.7,9.1,98,0,0,0,0,0,0
"400",2019-09-05,9633,11,16.9,6.4,83,1.4,0,0,0,0,0
"401",2019-10-13,16562,8.8,24.5,0,25,10.3,0,0,0,1,0
"402",2019-10-09,6723,9.1,17.3,12.3,88,0,0,0,0,0,0
"403",2019-04-19,10889,5.5,22.3,0,0,13.5,0,0,0,1,0
"404",2019-06-25,23340,15.7,32.6,0,38,14.8,0,0,0,0,0
"405",2019-01-07,4117,0.7,2.1,2,100,0,0,0,0,0,0
"406",2019-04-22,11106,6.5,23.8,0,78,12.4,0,0,0,1,0
"407",2019-01-27,2213,2.1,7.1,0.4,99,0,0,0,0,1,0
"408",2019-08-29,14510,18.1,26.2,0,85,4,0,0,0,0,0
"409",2019-10-26,12249,6.6,22.1,0,4,9.7,0,0,1,0,0
"410",2019-09-12,19206,12.7,23.6,0,50,9.1,0,0,0,0,0
"411",2019-05-16,13422,4.5,12.1,0,94,0.5,0,0,0,0,0
"412",2019-03-27,7625,1.7,7.5,0.3,99,0.1,0,0,0,0,0
"413",2019-02-14,7718,-1.5,11.3,0,54,8.7,0,0,0,0,0
"414",2019-08-31,13206,15.8,29.7,0,20,12.1,0,0,1,0,0
"415",2019-11-20,11091,1.4,4.3,0,95,0.2,0,0,0,0,0
"416",2019-11-19,12457,0.7,6.1,0,81,1.8,0,0,0,0,0
"417",2019-08-10,8465,18.4,24.2,4.4,90,2,0,0,1,0,0
"418",2019-09-23,7701,11.4,15.5,9.6,98,0,0,0,0,0,0
"419",2019-06-07,19622,10.6,28.1,0,19,14.6,0,0,0,0,0
"420",2019-05-09,14018,7.1,18,0.1,79,8,0,0,0,0,0
"421",2019-09-19,17600,5.4,16.5,0,40,10.9,0,0,0,0,0
"422",2019-07-24,23955,17.6,34.5,0,3,14.7,0,0,0,0,0
"423",2019-11-30,5697,-0.2,5.5,0,75,1.7,0,0,1,0,0
"424",2019-06-24,23525,16.2,28.8,0,23,14.9,0,0,0,0,0
"425",2019-10-27,13343,10.1,22.4,4.9,54,8.5,0,0,0,1,0
"426",2019-09-18,18721,6.7,17.4,0,11,11.7,0,0,0,0,0
"427",2019-06-15,10865,14.1,26.3,0,69,7.8,0,0,1,0,0
"428",2019-12-01,4209,-1,1.8,1.8,98,0,0,0,0,1,0
"429",2019-12-10,10955,-1,4.2,0,53,2.2,0,0,0,0,0
"430",2019-05-20,4686,11.3,14.6,71.2,96,0,0,0,0,0,0
"431",2019-04-09,12567,8.5,16.6,0,95,3.2,0,0,0,0,0
"432",2019-01-04,2206,-1.7,-0.3,5,96,0,0,0,0,0,0
"433",2019-05-08,14441,5.8,17.4,2.1,98,1.4,0,0,0,0,0
"434",2019-12-15,5413,6.1,15.4,0,96,4.2,0,0,0,1,0
"435",2019-05-11,4652,7.4,16.5,12.3,98,0.7,0,0,1,0,0
"436",2019-09-28,8641,12.4,18.1,0,95,4.7,0,0,1,0,0
"437",2019-05-05,4186,2.1,8.1,0.1,98,1.3,0,0,0,1,0
"438",2019-12-11,10706,-3.8,3.5,2.4,80,3.4,0,0,0,0,0
"439",2019-08-28,18263,16.9,30.1,4.4,74,9.8,0,0,0,0,0
"440",2019-04-26,9181,6.3,17.1,4,81,2.6,0,0,0,0,0
"441",2019-07-11,14833,13.5,22.2,4.1,91,2,0,0,0,0,0
"442",2019-03-26,10314,1.2,8.3,1,93,2.7,0,0,0,0,0
"443",2019-08-01,23824,13.4,25.2,0,55,9.5,0,0,0,0,0
"444",2019-07-27,10734,18.8,26.5,2.2,89,4.8,0,0,1,0,0
"445",2019-12-26,2510,1,5.8,1.5,81,4.8,0,0,0,1,0
"446",2019-08-04,16552,13.9,26.2,0,36,12.3,0,0,0,1,0
"447",2019-10-04,8939,4.5,12.6,1,99,0.6,0,0,0,0,0
"448",2019-09-16,19224,14.3,26.9,0.1,75,7.5,0,0,0,0,0
"449",2019-03-28,11485,4.9,12.8,0,99,4.8,0,0,0,0,0
"450",2019-05-30,11859,8.6,19.5,0,63,8.6,0,0,0,1,0
"451",2019-01-03,2949,-3.1,-0.6,0,93,2.9,0,0,0,0,0
"452",2019-10-18,15762,10.9,21,0,98,4.7,0,0,0,0,0
"453",2019-11-11,11500,-0.7,3.5,2.3,99,0.1,0,0,0,0,0
"454",2019-10-25,15634,8.9,18.4,0,78,4.3,0,0,0,0,0
